player_id,age,gender,region,hours_per_week,preferred_mode,primary_game_genre,plays_with_friends,voice_chat_usage,motivation,favorite_game,spending_per_month_inr,satisfaction_score,likelihood_to_continue
1,21,Male,North America,5.2,Both,RPG,Yes,Always,Social Fun,FIFA,1913.0,8.1,High
2,34,Male,Europe,7.2,Story Mode,RPG,No,Never,Relaxation,Valorant,780.0,7.9,Medium
3,29,Male,Asia,14.3,Online Multiplayer,MOBA,Yes,Always,Social Fun,The Witcher 3,620.0,6.2,Medium
4,25,Male,North America,13.0,Online Multiplayer,RPG,Yes,Always,Story,FIFA,782.0,8.0,High
5,22,Male,North America,11.1,Both,FPS,Yes,Sometimes,Competition,FIFA,1200.0,6.6,Medium
6,35,Male,Europe,14.5,Story Mode,Adventure,No,Sometimes,Social Fun,GTA V,956.0,6.0,Medium
7,21,Female,North America,12.4,Online Multiplayer,MOBA,Yes,Always,Competition,FIFA,1355.0,8.5,High
8,33,Male,Europe,6.0,Both,FPS,Yes,Sometimes,Competition,CS:GO,883.0,9.0,High
9,25,Male,Europe,8.5,Online Multiplayer,MOBA,Yes,Always,Competition,Valorant,779.0,8.6,High
10,25,Male,Europe,5.6,Story Mode,FPS,No,Never,Competition,CS:GO,1015.0,6.1,Medium
11,35,Male,Europe,6.8,Story Mode,RPG,No,Never,Competition,GTA V,630.0,6.1,Medium
12,18,Male,Asia,15.6,Online Multiplayer,RPG,Yes,Sometimes,Social Fun,Minecraft,1770.0,5.2,Low
13,22,Female,Europe,8.9,Both,Adventure,Yes,Sometimes,Social Fun,GTA V,1312.0,8.1,High
14,17,Male,South America,7.7,Story Mode,RPG,No,Never,Relaxation,Valorant,350.0,8.3,High
15,35,Male,North America,7.4,Story Mode,MOBA,Yes,Always,Competition,FIFA,527.0,8.1,High
16,16,Male,South America,11.4,Online Multiplayer,Adventure,Yes,Sometimes,Social Fun,The Witcher 3,1183.0,7.9,Medium
17,26,Male,Asia,10.4,Online Multiplayer,Adventure,No,Never,Relaxation,GTA V,992.0,9.6,High
18,20,Female,South America,12.6,Online Multiplayer,MOBA,Yes,Always,Social Fun,Valorant,1051.0,7.5,Medium
19,16,Male,North America,10.1,Both,MOBA,Yes,Sometimes,Relaxation,The Witcher 3,804.0,8.2,High
20,35,Male,South America,13.8,Online Multiplayer,FPS,Yes,Sometimes,Social Fun,FIFA,1128.0,7.5,Medium
21,15,Male,Asia,6.2,Story Mode,RPG,Yes,Sometimes,Social Fun,Minecraft,816.0,6.9,Medium
22,26,Male,Europe,7.6,Story Mode,Sports,No,Never,Story,GTA V,1182.0,7.8,Medium
23,26,Female,South America,5.5,Online Multiplayer,FPS,Yes,Sometimes,Social Fun,Minecraft,1287.0,7.9,Medium
24,31,Male,Asia,7.2,Story Mode,Adventure,No,Never,Relaxation,Valorant,1703.0,6.3,Medium
25,24,Female,Asia,9.5,Online Multiplayer,Sports,Yes,Always,Social Fun,Minecraft,643.0,7.0,Medium
26,30,Male,North America,10.3,Both,FPS,Yes,Sometimes,Competition,Minecraft,894.0,7.8,Medium
27,29,Female,North America,8.5,Online Multiplayer,Adventure,Yes,Always,Story,Valorant,291.0,7.7,Medium
28,29,Male,South America,14.7,Online Multiplayer,RPG,Yes,Always,Social Fun,Valorant,1813.0,7.5,Medium
29,33,Male,Europe,8.9,Online Multiplayer,RPG,Yes,Sometimes,Relaxation,GTA V,0.0,8.6,High
30,26,Male,Asia,7.2,Online Multiplayer,FPS,Yes,Always,Competition,Minecraft,1741.0,10.0,High
31,34,Other,South America,5.9,Both,FPS,Yes,Always,Competition,The Witcher 3,947.0,7.6,Medium
32,17,Female,Asia,7.1,Story Mode,Adventure,No,Never,Competition,Valorant,1109.0,7.6,Medium
33,19,Male,Asia,1.0,Story Mode,MOBA,No,Never,Story,FIFA,817.0,5.9,Low
34,33,Female,Europe,14.8,Online Multiplayer,MOBA,Yes,Always,Social Fun,Minecraft,916.0,7.5,Medium
35,21,Male,Europe,5.8,Online Multiplayer,RPG,Yes,Sometimes,Social Fun,Valorant,1194.0,9.9,High
36,35,Female,South America,17.7,Online Multiplayer,FPS,Yes,Sometimes,Story,The Witcher 3,82.0,7.9,Medium
37,23,Male,Europe,6.4,Story Mode,Adventure,No,Sometimes,Relaxation,GTA V,574.0,6.9,Medium
38,21,Female,Europe,3.7,Both,FPS,Yes,Sometimes,Social Fun,Minecraft,477.0,7.3,Medium
39,32,Female,South America,13.7,Online Multiplayer,Sports,Yes,Always,Competition,Valorant,1124.0,8.3,High
40,18,Female,Europe,14.1,Online Multiplayer,MOBA,Yes,Always,Competition,Valorant,902.0,10.0,High
41,28,Male,North America,6.6,Story Mode,Adventure,Yes,Sometimes,Competition,FIFA,1209.0,6.6,Medium
42,32,Male,Asia,13.3,Both,Sports,Yes,Always,Social Fun,FIFA,982.0,10.0,High
43,23,Female,Asia,1.0,Story Mode,FPS,No,Sometimes,Relaxation,Minecraft,1429.0,6.6,Medium
44,35,Male,Asia,9.1,Both,Adventure,Yes,Always,Social Fun,Valorant,530.0,7.4,Medium
45,16,Female,Asia,14.7,Online Multiplayer,FPS,Yes,Sometimes,Relaxation,Minecraft,929.0,7.0,Medium
46,34,Female,South America,11.7,Online Multiplayer,Sports,Yes,Always,Relaxation,Valorant,1455.0,7.7,Medium
47,29,Male,Asia,4.2,Both,FPS,Yes,Always,Competition,FIFA,1355.0,7.0,Medium
48,21,Female,Asia,2.9,Story Mode,Adventure,Yes,Always,Social Fun,The Witcher 3,160.0,6.9,Medium
49,26,Male,Asia,11.1,Online Multiplayer,MOBA,Yes,Sometimes,Social Fun,CS:GO,389.0,6.6,Medium
50,22,Female,Asia,7.8,Story Mode,FPS,No,Never,Competition,CS:GO,859.0,6.4,Medium
51,29,Female,North America,9.0,Both,RPG,No,Never,Relaxation,Valorant,783.0,8.4,High
52,17,Male,Asia,1.9,Story Mode,MOBA,No,Sometimes,Social Fun,FIFA,867.0,3.4,Low
53,28,Male,North America,9.6,Story Mode,RPG,No,Never,Competition,GTA V,1298.0,6.9,Medium
54,31,Female,South America,9.4,Online Multiplayer,FPS,Yes,Always,Social Fun,GTA V,1045.0,6.2,Medium
55,18,Male,Europe,8.3,Story Mode,FPS,No,Sometimes,Social Fun,CS:GO,1074.0,6.3,Medium
56,32,Male,Asia,5.7,Story Mode,FPS,No,Never,Social Fun,The Witcher 3,1235.0,5.4,Low
57,22,Male,Europe,7.9,Both,MOBA,Yes,Always,Social Fun,CS:GO,1437.0,7.9,Medium
58,18,Male,Europe,6.5,Both,RPG,Yes,Sometimes,Social Fun,Valorant,0.0,8.6,High
59,16,Male,South America,9.9,Both,FPS,Yes,Always,Competition,The Witcher 3,707.0,10.0,High
60,20,Male,Europe,7.6,Online Multiplayer,RPG,Yes,Sometimes,Story,GTA V,459.0,8.4,High
61,24,Male,North America,7.3,Story Mode,RPG,No,Never,Relaxation,FIFA,1138.0,5.4,Low
62,18,Male,Europe,1.8,Both,FPS,Yes,Always,Social Fun,FIFA,669.0,6.6,Medium
63,32,Male,Europe,7.9,Story Mode,RPG,No,Never,Social Fun,Valorant,938.0,6.3,Medium
64,26,Male,Europe,4.8,Both,FPS,Yes,Never,Social Fun,CS:GO,1326.0,8.2,High
